Year,HPR1000 (1200 MW),ACP100 (100 MW),ACP600 (600 MW),HTR (210 MW)
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,0,4,0,0
2034,0,4,0,2
2035,0,4,0,2
2036,0,0,1,0
2037,0,0,2,0
2038,2,0,0,0
2039,2,4,0,0
2040,3,0,2,0
2041,3,4,0,0
2042,4,0,0,0
2043,4,0,0,2
2044,4,0,0,0
2045,3,0,5,0
2046,1,0,0,0
2047,2,4,0,0
2048,2,0,0,2
2049,2,4,0,0
2050,3,0,0,0
2051,3,0,2,0
2052,3,0,0,2
2053,3,4,0,0
2054,3,0,0,0
2055,3,4,0,0
2056,3,0,0,2
