Year,HPR1000 (1200 MW),ACP100 (100 MW),ACP600 (600 MW),HTR (210 MW)
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,0,0,0
2031,0,0,0,0
2032,0,0,0,0
2033,1,0,0,0
2034,1,0,0,0
2035,2,0,0,0
2036,2,0,0,0
2037,2,0,0,0
2038,3,0,0,0
2039,3,0,0,0
2040,3,0,0,0
2041,4,0,0,0
2042,4,0,0,0
2043,4,0,0,0
2044,5,0,0,0
2045,5,0,0,0
2046,5,0,0,0
2047,6,0,0,0
2048,6,0,0,0
2049,6,0,0,0
2050,7,0,0,0
2051,7,0,0,0
2052,7,0,0,0
2053,8,0,0,0
2054,8,0,0,0
2055,8,0,0,0
2056,8,0,0,0
