Year,HPR1000 (1200 MW),ACP100 (100 MW),ACP600 (600 MW),HTR (210 MW)
2026,0,0,0,0
2027,0,0,0,0
2028,0,0,0,0
2029,0,0,0,0
2030,0,2,0,0
2031,0,4,0,1
2032,0,4,0,2
2033,0,4,1,2
2034,0,4,1,2
2035,0,5,1,3
2036,0,5,1,3
2037,0,5,2,3
2038,0,6,2,3
2039,0,6,2,4
2040,0,6,2,4
2041,1,6,2,4
2042,1,8,2,4
2043,1,8,3,4
2044,1,8,3,5
2045,1,8,3,5
2046,1,10,3,5
2047,1,10,3,5
2048,1,10,4,5
2049,1,10,4,6
2050,1,12,4,6
2051,2,12,4,6
2052,2,12,4,6
2053,2,12,4,6
2054,2,12,4,6
2055,2,12,4,6
2056,2,12,4,6
